experiment,feature_count,train_end,validation_years,validation_MAE_usd,validation_RMSE_usd,validation_R2
without_cast_previous_movie_count,37,2015,2016-2017,59473798.0214,130561995.0457,0.6528
without_production_company_previous_movie_count,37,2015,2016-2017,59511645.6911,130539491.8523,0.6529
without_is_sequel,37,2015,2016-2017,59512358.4610,130330122.3402,0.6540
without_production_company_previous_success_rate,37,2015,2016-2017,59535287.3721,130175346.4328,0.6549
without_cast_previous_success_rate,37,2015,2016-2017,59545208.8541,130644976.0132,0.6524
without_director_previous_avg_rating,37,2015,2016-2017,59587761.3495,130323880.3816,0.6541
without_cast_previous_avg_rating,37,2015,2016-2017,59602490.6993,130247700.3844,0.6545
recommended_reduced_model,35,2015,2016-2017,59779790.1111,130623143.2499,0.6525
without_primary_genre,37,2015,2016-2017,59811161.7090,131149271.0409,0.6497
without_cast_history,33,2015,2016-2017,59930435.6257,131202942.8604,0.6494
without_production_company_previous_avg_revenue,37,2015,2016-2017,60178558.7670,130999773.1334,0.6505
basic_features_only,13,2015,2016-2017,61177509.6874,131745339.4461,0.6465
without_company_history,34,2015,2016-2017,61906119.8344,133616719.8458,0.6364
budget_and_history,14,2015,2016-2017,62877388.3153,135111150.9468,0.6282
without_is_franchise,37,2015,2016-2017,63476646.7665,135254584.7770,0.6274
without_director_history,33,2017,2018-2019,65479134.7238,162612147.7537,0.6531
recommended_reduced_model,35,2017,2018-2019,65865560.1716,166235193.6346,0.6374
without_log_budget_usd,37,2017,2018-2019,65967323.5650,163850421.4576,0.6478
without_budget_usd,37,2017,2018-2019,65987936.8373,163860783.3895,0.6477
without_cast_previous_avg_revenue,37,2017,2018-2019,66135972.0581,162988284.3062,0.6515
without_director_previous_avg_revenue,37,2017,2018-2019,66139282.3656,164351838.4038,0.6456
without_cast_previous_movie_count,37,2017,2018-2019,66298694.4003,165040647.0692,0.6426
full_model,38,2017,2018-2019,66421867.0611,164600182.6004,0.6445
without_director_previous_avg_rating,37,2017,2018-2019,66422100.2596,163770159.7171,0.6481
without_production_company_previous_movie_count,37,2017,2018-2019,66464568.7559,162258180.7747,0.6546
without_director_previous_movie_count,37,2017,2018-2019,66467082.9645,163885605.8158,0.6476
without_genre_count,37,2017,2018-2019,66564144.9631,164705626.1513,0.6441
without_director_previous_max_revenue,37,2017,2018-2019,66577516.5252,165507624.1562,0.6406
without_company_count,37,2017,2018-2019,66608313.1105,165383186.8328,0.6412
without_cast_previous_success_rate,37,2017,2018-2019,66725113.9710,164668180.5657,0.6442
without_release_year,37,2017,2018-2019,66725490.7989,164685778.6416,0.6442
without_franchise_previous_success_rate,37,2017,2018-2019,66735144.5821,165171066.7029,0.6421
without_original_language,37,2017,2018-2019,66849322.2658,165683579.9508,0.6398
without_is_sequel,37,2017,2018-2019,66912255.2929,165210794.3275,0.6419
without_primary_genre,37,2017,2018-2019,66944407.3100,165427298.8551,0.6410
without_production_company_previous_max_revenue,37,2017,2018-2019,66947903.5393,166559808.9701,0.6360
without_franchise_history,30,2017,2018-2019,66990656.7044,165232645.7890,0.6418
without_runtime_minutes,37,2017,2018-2019,66994768.2887,165908291.2361,0.6389
without_franchise_previous_median_revenue,37,2017,2018-2019,67038527.5298,165970269.1394,0.6386
without_is_holiday_release,37,2017,2018-2019,67045758.6781,165390916.6446,0.6411
without_director_previous_success_rate,37,2017,2018-2019,67053528.6693,165403805.9538,0.6411
without_franchise_previous_movie_count,37,2017,2018-2019,67106460.1105,166163374.9011,0.6378
without_franchise_previous_avg_revenue,37,2017,2018-2019,67112367.4466,166154072.3188,0.6378
without_release_month,37,2017,2018-2019,67112825.6857,165705527.4689,0.6398
without_franchise_previous_latest_success,37,2017,2018-2019,67121364.0530,166260962.5868,0.6373
without_franchise_previous_max_revenue,37,2017,2018-2019,67137797.4075,166682716.8532,0.6355
without_franchise_previous_last_revenue,37,2017,2018-2019,67146783.2144,166263693.2008,0.6373
without_cast_history,33,2017,2018-2019,67190721.3302,165410465.9787,0.6410
without_cast_size_top10,37,2017,2018-2019,67191851.8734,165968952.9890,0.6386
without_is_summer_release,37,2017,2018-2019,67199354.2090,166355070.8320,0.6369
without_production_company_previous_success_rate,37,2017,2018-2019,67219132.6218,164927364.4711,0.6431
without_franchise_previous_avg_rating,37,2017,2018-2019,67290665.8822,164869718.6153,0.6434
without_country_count,37,2017,2018-2019,67297614.6703,165592839.9302,0.6402
without_cast_previous_avg_rating,37,2017,2018-2019,67340474.9118,167856825.4834,0.6303
without_cast_previous_max_revenue,37,2017,2018-2019,67434131.7831,166816712.7565,0.6349
without_release_season,37,2017,2018-2019,67479978.4418,167064225.2376,0.6338
without_production_company_previous_avg_revenue,37,2017,2018-2019,67676416.6979,167918345.0799,0.6301
basic_features_only,13,2017,2018-2019,67745954.9985,162559803.7724,0.6533
without_is_franchise,37,2017,2018-2019,68802007.2970,168358835.1645,0.6281
without_company_history,34,2017,2018-2019,68870897.6440,169233654.0258,0.6242
budget_and_history,14,2017,2018-2019,69312512.1000,173608014.3707,0.6046
