revenue_band,movie_count,mae_usd,median_actual_revenue_usd,median_predicted_revenue_usd,interval_coverage
Regular (<$250M),550,27460698.314668242,12877152.0,8152256.242697056,0.9745454545454545
High Grossing ($250M-$400M),26,172103666.26957545,298009098.5,102867395.50103185,0.38461538461538464
Blockbuster (>$400M),42,380236659.0993581,677948955.0,400270293.7369149,0.2857142857142857
