genre,movie_count,median_revenue_usd,median_roi,profitability_rate
Adventure,525,197744825.0,1.45467137,0.7561904761904762
Family,279,163692228.0,1.6577810254242615,0.8028673835125448
Fantasy,301,130423032.0,1.2168032111111111,0.6677740863787376
Science Fiction,348,128654196.0,1.3957929566666667,0.7068965517241379
Animation,268,118745755.5,1.8782268333333336,0.6305970149253731
Action,734,91563614.0,1.2087353283333333,0.6607629427792916
Comedy,628,81028922.5,1.6614288825396826,0.732484076433121
War,48,67790166.5,0.7200580714285714,0.625
Music,53,59400000.0,1.6224612944444443,0.6037735849056604
History,122,46432610.0,0.608083,0.5655737704918032
Romance,256,43092940.5,1.4959178333333334,0.65234375
Horror,326,43043442.0,2.0861817220930234,0.6779141104294478
Crime,344,40400000.0,0.7628043452380953,0.5784883720930233
Western,23,37600000.0,0.14208367270652014,0.5217391304347826
Thriller,634,35450879.0,1.0553179352941175,0.583596214511041
Mystery,201,34854990.0,1.477142857142857,0.6019900497512438
Drama,854,33324837.5,0.9925,0.617096018735363
