director,movie_count,median_revenue_usd,median_roi,profitability_rate
Edward Zwick,3,102800000.0,1.7016666666666669,0.6666666666666666
Joe Wright,4,98658735.0,0.9119157909688014,0.75
Baltasar Kormákur,5,96262212.0,1.1629575573770492,1.0
Tim Story,7,96070507.0,2.1206829,0.8571428571428571
Mikael Håfström,3,96047633.0,1.595881972972973,0.6666666666666666
Gil Kenan,3,95682614.0,1.376732090714286,0.6666666666666666
Harald Zwart,3,95396573.0,0.5899428833333333,1.0
Ron Howard,5,93900000.0,0.571809492,0.6
Nicholas Stoller,5,90029656.0,1.2507414,0.8
Andy Fickman,4,88504833.5,1.576496077187115,1.0
Elizabeth Banks,3,88314672.0,1.717374523076923,1.0
Judd Apatow,3,88200000.0,1.52,0.6666666666666666
Philippe de Chauveron,3,87761988.0,3.7438912432432434,1.0
Damien Chazelle,4,85490332.0,7.377440474891775,0.75
Henry Joost,3,85241496.0,15.523462963157893,0.6666666666666666
Bobby Farrelly,3,83200000.0,2.2785181805555554,0.6666666666666666
Takashi Yamazaki,3,83100000.0,3.1522748333333332,1.0
Oliver Stone,3,82966152.0,0.8436922666666666,0.6666666666666666
Martin Campbell,5,81126522.0,0.0566686925,0.6
D.J. Caruso,4,79682099.0,1.998,0.5
Ben Falcone,3,78844582.0,1.7187786896551724,1.0
Malcolm D. Lee,5,78613981.0,1.75150255,1.0
Bora Dağtekin,3,77676735.0,,0.0
James Watkins,3,77239314.0,3.03125,0.6666666666666666
Isaac Florentine,3,76500000.0,11.76603525,0.3333333333333333
Steve McQueen,3,75984700.0,0.8091595238095238,0.6666666666666666
Clint Eastwood,10,75976521.5,1.0212714333333333,0.7
Thor Freudenthal,3,75700000.0,1.2205590555555557,0.6666666666666666
Jay Roach,4,73896125.5,0.1781449953470633,0.75
David Bowers,3,72200000.0,2.5045454545454544,1.0
Wes Anderson,5,68263166.0,1.15430972,1.0
Scott Stewart,3,67918658.0,1.612256076923077,1.0
Phillip Noyce,3,66980456.0,1.6729230881818182,0.6666666666666666
Jesse V. Johnson,4,66700000.0,8.4160344,0.5
Greg Berlanti,3,66316289.0,1.782484631578947,0.6666666666666666
John Madden,4,65807772.0,4.439868,0.75
Barry Jenkins,3,65046687.0,2.61315878,1.0
Steve Pink,3,64780213.0,0.8,1.0
Christopher Landon,5,64600152.0,6.177794666666666,0.8
José Padilha,3,63027681.0,1.0224080416666668,0.3333333333333333
Tate Taylor,5,61220856.0,5.256444444444444,0.8
Tyler Perry,3,60673972.0,2.0336986,1.0
Julius Avery,4,58328922.0,-0.07687047368421054,0.5
Jonathan Levine,4,56597998.0,1.7193484914285715,1.0
Jeff Wadlow,4,55121646.5,4.7208885714285715,1.0
Robert Eggers,4,55028527.5,1.64816845,0.75
George Clooney,5,54401583.0,0.7870486089285714,0.6
James Nunn,3,53600000.0,-0.6351696,0.0
Jean-Marc Vallée,3,52501541.0,2.500102733333333,0.6666666666666666
Mamoru Hosoda,4,52488268.0,,0.0
Alexandre Aja,4,52474439.0,2.4661735416666666,0.75
Gennaro Nunziante,3,51936318.0,5.779060330056813,1.0
Scott Beck,3,51913394.0,0.3495681777777777,0.6666666666666666
Tsui Hark,3,51723285.0,0.9911815296703297,0.3333333333333333
Michael Spierig,3,51417188.0,1.5708594,0.6666666666666666
Matt Bettinelli-Olpin,4,50315873.0,4.16400027056277,1.0
Steven Soderbergh,8,50226802.5,0.8923092327586207,0.875
David Frankel,4,49714357.0,1.4591188888888889,0.5
Martin McDonagh,3,49300000.0,1.465,1.0
Josh Boone,3,49169594.0,10.337181340085287,0.3333333333333333
Stephen Frears,5,48902953.0,2.0253847727272727,0.6
Alexander Payne,4,48758580.0,1.7892924358974358,0.75
Ari Aster,3,48498408.0,4.388712,0.6666666666666666
Renny Harlin,5,48166448.0,1.5717617308035714,0.4
Ric Roman Waugh,4,47615231.0,0.38240996134453775,0.75
William Brent Bell,4,47120464.0,3.7120463999999997,0.75
Craig Gillespie,6,46550848.5,0.2671348683333333,0.6666666666666666
Guillaume Canet,3,46497678.0,-0.3541989166666666,0.3333333333333333
Edgar Wright,5,46100000.0,0.5074674520547945,0.4
Niki Caro,3,45710059.0,0.30764175,0.6666666666666666
Robert Rodriguez,5,45491656.0,1.3823529411764706,0.6
Robert Zemeckis,6,45242756.5,0.1275473867924528,0.5
Peter Segal,3,44907260.0,0.1226815,0.6666666666666666
Mike Flanagan,5,44459951.0,4.250276055555556,0.6
Tim Hill,3,43387445.0,1.4104136111111112,0.6666666666666666
Joe Carnahan,4,43294426.5,-0.11612591368861025,0.5
Rob Minkoff,3,42500000.0,-0.0555555555555555,0.3333333333333333
Hiromasa Yonebayashi,3,42170089.0,5.506956652173913,0.3333333333333333
Johannes Roberts,5,41914915.0,1.8664934,1.0
John Erick Dowdle,3,41898409.0,7.3796818,1.0
Brad Furman,4,41805555.0,1.086666666666667,0.5
Alex Kendrick,3,40392664.0,23.422624666666668,1.0
Alex Garland,4,39970164.5,1.086832082051282,1.0
Reinaldo Marcus Green,3,39400000.0,-0.212,0.3333333333333333
Rupert Wyatt,3,39171130.0,0.5668452,0.6666666666666666
Daniel Stamm,3,37655699.0,18.27915867777778,0.3333333333333333
John Crowley,3,37182814.0,2.7512131227272727,0.6666666666666666
John Wells,3,36606743.0,0.83033715,0.6666666666666666
Destin Daniel Cretton,4,36245017.5,1.235170762222222,1.0
Todd Strauss-Schulson,3,36192775.0,0.7395382215619695,0.6666666666666666
Woody Allen,11,36015260.0,1.0635779090909092,0.6363636363636364
Danny Boyle,5,35700000.0,0.9833333333333332,1.0
Olivier Baroux,3,35210425.0,2.6521344705882353,0.6666666666666666
Simon Curtis,5,35100000.0,2.9003297999999997,0.8
Luca Miniero,3,35000000.0,10.114751541666667,0.6666666666666666
David Gordon Green,9,34942188.0,0.39768752,0.5555555555555556
Cary Joji Fukunaga,3,34710627.0,1.6700482307692308,1.0
Luc Besson,7,34604339.0,0.2525260411963882,0.5714285714285714
Eli Roth,6,33517197.5,1.5614788000000002,0.8333333333333334
Ethan Coen,3,32935319.0,1.9941199090909092,0.6666666666666666
Enrique Gato,3,32800000.0,1.736994062892452,1.0
Shinji Higuchi,4,32626126.0,4.7328255,0.5
Rob Cohen,3,32517248.0,-0.0709357714285714,0.3333333333333333
Andrew Niccol,4,32248870.5,0.4386363636363636,0.5
Fyodor Bondarchuk,3,32104054.0,2.640245600507982,1.0
Paul Thomas Anderson,4,30767564.5,-0.14250445,0.25
Kenji Nagasaki,3,30017163.0,1.29229575,0.3333333333333333
John Lee Hancock,3,29942746.0,0.608083,0.6666666666666666
Greg Mottola,3,29900000.0,-0.2525,0.3333333333333333
Adam Wingard,6,29759997.0,2.811666773333333,0.6666666666666666
George Tillman Jr.,4,29007867.5,0.24030426992753628,0.5
Simon West,4,28904785.5,-0.24930217916666664,0.5
Kunihiko Yuyama,4,28572552.5,0.1567411935081956,0.25
Tommy Wirkola,5,27975429.0,1.592758475,0.6
Scott Cooper,4,27921997.5,-0.0950688529411765,0.5
Miguel Arteta,3,26900000.0,1.2611886213054186,0.3333333333333333
