release_season,movie_count,median_revenue_usd,mean_revenue_usd,median_roi,profitability_rate
Winter,801,34737199.0,101823951.53932585,1.1138045,0.6912442396313364
Summer,895,25035950.0,117134982.63128492,1.2392287948717948,0.7265973254086181
Spring,786,21523203.0,118482758.24300255,0.856534768487395,0.6871069182389937
Fall,1125,14114415.0,76487196.31466667,0.524753486463621,0.6051401869158879
