tmdb_id,title,release_date,runtime_minutes,original_language,budget_usd,worldwide_revenue_usd,popularity,vote_average,vote_count,genres,production_countries,production_companies,production_company_ids,collection_id,collection_name,director,cast_top10,cast_ids_top10,release_year,profitable,director_id,director_ids
81446,The Baytown Outlaws,2012-08-27,98.0,en,4000000.0,37470.0,5.3908,5.987,354,Action; Comedy; Crime,US,Lleju Productions; State Street Pictures,12410; 3356,,,Barry Battles,Clayne Crawford; Travis Fimmel; Daniel Cudmore; Thomas Brodie-Sangster; Andre Braugher; Paul Wesley; Eva Longoria; Billy Bob Thornton; Michael Rapaport; Natalie Martinez,59671; 77700; 84222; 25663; 6861; 83141; 52605; 879; 4688; 76511,2012,0.0,591963.0,591963
81836,To Rome with Love,2012-04-20,111.0,en,17000000.0,73258078.0,3.5748,5.793,2117,Comedy; Romance,IT; US,Perdido Productions; Medusa Film; Gravier Productions,12966; 6246; 1824,,,Woody Allen,Woody Allen; Roberto Benigni; Penélope Cruz; Alec Baldwin; Judy Davis; Jesse Eisenberg; Greta Gerwig; Elliot Page; Alessandro Tiberi; David Pasquesi,1243; 4818; 955; 7447; 351; 44735; 45400; 27578; 210766; 74487,2012,1.0,1243.0,1243
82390,The Paperboy,2012-09-14,107.0,en,12500000.0,1353868.0,4.0207,5.538,820,Thriller; Drama; Mystery,US,Lee Daniels Entertainment; Nu Image; Millennium Media,695; 925; 1020,,,Lee Daniels,Zac Efron; Matthew McConaughey; Nicole Kidman; David Oyelowo; Macy Gray; John Cusack; Scott Glenn; Ned Bellamy; Nealla Gordon; Edrick Browne,29222; 10297; 2227; 35013; 60560; 3036; 349; 2141; 109568; 112286,2012,0.0,20019.0,20019
82505,House at the End of the Street,2012-09-21,101.0,en,6900000.0,44287131.0,5.537,5.794,1932,Horror; Thriller,US; CA,A Bigger Boat; FilmNation Entertainment; Relativity Media,5855; 7493; 7295,,,Mark Tonderai,Jennifer Lawrence; Max Thieriot; Nolan Gerard Funk; Elisabeth Shue; Gil Bellows; Allie MacDonald; Jordan Hayes; Joy Tanner; James Thomas; Craig Eldridge,72129; 41883; 82819; 1951; 6575; 226833; 239464; 168615; 444420; 133254,2012,1.0,86482.0,86482
82520,Return,2011-02-10,97.0,en,,8801.0,0.9303,6.436,3926,Drama,US,Fork Films; Meredith Vieira Productions; Dadá Films; Focus Features,13045; 140237; 108146; 10146,,,Liza Johnson,Linda Cardellini; Michael Shannon; John Slattery; Talia Balsam; Emma Rayne Lyle; Paul Sparks; Louisa Krause; Rosie Benton; Rutanya Alda; James Murtaugh,1817; 335; 21134; 140253; 928134; 167564; 131871; 928135; 80135; 101781,2011,,916958.0,916958
82532,"Jeff, Who Lives at Home",2012-03-16,83.0,en,10000000.0,4400000.0,3.8616,6.231,699,Drama; Comedy,US,Indian Paintbrush; Paramount Vantage; Right of Way Films; Duplass Brothers Productions; Mr. Mudd,9350; 838; 32157; 1974; 2130,,,Mark Duplass,Jason Segel; Ed Helms; Susan Sarandon; Judy Greer; Rae Dawn Chong; Steve Zissis; Evan Ross; Matt Malloy; Benjamin Brant Bickham; Lee Nguyen,41088; 27105; 4038; 20750; 13312; 45398; 94103; 19208; 1783687; 1936124,2012,0.0,45407.0,45407; 45405
82679,Fun Size,2012-10-24,87.0,en,14000000.0,11417362.0,2.4658,5.565,451,Comedy,US,Nickelodeon Movies; Paramount Pictures; Anonymous Content; Fake Empire Productions,2348; 4; 10039; 51718,,,Josh Schwartz,Victoria Justice; Jane Levy; Thomas Mann; Thomas McDonell; Chelsea Handler; Jackson Nicoll; Osric Chau; Thomas Middleditch; Riki Lindhome; Josh Pence,191228; 530618; 1142720; 234984; 151254; 1148130; 101016; 111678; 453; 928532,2012,0.0,168798.0,168798
82696,Hope Springs,2012-08-07,100.0,en,30000000.0,114281051.0,4.0073,6.271,844,Drama; Comedy; Romance,US,Columbia Pictures; Mandate Pictures; Escape Artists; Management 360; Metro-Goldwyn-Mayer; Mandate International,5; 771; 1423; 4220; 21; 181992,,,David Frankel,Meryl Streep; Tommy Lee Jones; Steve Carell; Jean Smart; Marin Ireland; Ben Rappaport; Brett Rice; Becky Ann Baker; Elisabeth Shue; Charles Techman,5064; 2176; 4495; 5376; 164094; 224183; 29934; 59206; 1951; 127069,2012,1.0,5065.0,5065
82825,Kahaani,2012-03-08,122.0,hi,1200000.0,16000000.0,2.3849,7.204,360,Mystery; Thriller,IN,Viacom18 Studios; Pen Studios; Bound Script Production,6808; 103329; 164741,499115.0,Kahaani Collection,Sujoy Ghosh,Vidya Balan; Parambrata Chatterjee; Nawazuddin Siddiqui; Saswata Chatterjee; Kharaj Mukherjee; Dhritiman Chatterjee; Darshan Jariwala; Indraneil Sengupta; Abir Chatterjee; Shantilal Mukherjee,35068; 1021524; 85047; 1093644; 1417494; 85593; 92686; 86033; 1143634; 1352377,2012,1.0,95510.0,95510
82992,Fast & Furious 6,2013-05-21,130.0,en,160000000.0,788700000.0,1.5975,6.817,11333,Action; Thriller; Crime,US,Relativity Media; Original Film; One Race; Universal Pictures,7295; 333; 1225; 33,9485.0,The Fast and the Furious Collection,Justin Lin,Vin Diesel; Paul Walker; Dwayne Johnson; Jordana Brewster; Michelle Rodriguez; Tyrese Gibson; Sung Kang; Gal Gadot; Ludacris; Luke Evans,12835; 8167; 18918; 22123; 17647; 8169; 61697; 90633; 8171; 114019,2013,1.0,58189.0,58189
84174,Bachelorette,2012-08-06,87.0,en,3000000.0,11947954.0,3.8895,5.385,1257,Comedy; Romance,US,Gary Sanchez Productions; BCDF Pictures,4740; 10290,,,Leslye Headland,Kirsten Dunst; Rebel Wilson; Lizzy Caplan; Isla Fisher; James Marsden; Adam Scott; Kyle Bornheimer; Hayes MacArthur; Ann Dowd; Andrew Rannells,205; 221581; 51988; 52848; 11006; 36801; 1215836; 74930; 43366; 990369,2012,1.0,217587.0,217587
84184,Celeste & Jesse Forever,2012-08-03,91.0,en,,3094813.0,3.3422,6.377,510,Comedy; Drama; Romance,US,Team Todd; Envision Media Arts,598; 19456,,,Lee Toland Krieger,Rashida Jones; Andy Samberg; Ari Graynor; Eric Christian Olsen; Chris Messina; Emma Roberts; Elijah Wood; Rebecca Dayan; Janel Parrish; Sarah Haskins,80591; 62861; 71552; 29020; 61659; 34847; 109; 1121635; 93377; 1181324,2012,,109745.0,109745
84199,The First Time,2012-10-19,95.0,en,2000000.0,92654.0,3.3211,6.991,2175,Drama; Comedy; Romance,US,Destination Films; Samuel Goldwyn Films,769; 9118,,,Jon Kasdan,Dylan O'Brien; Britt Robertson; Craig Roberts; James Frecheville; Victoria Justice; Maggie Elizabeth Jones; Halston Sage; Lamarcus Tinker; Joshua Malina; Christine Taylor,527393; 52018; 104561; 968863; 191228; 1046348; 934243; 970139; 131642; 15286,2012,0.0,30368.0,30368
84204,Grabbers,2012-08-10,94.0,en,,427335.0,3.2674,6.091,528,Science Fiction; Comedy; Thriller; Horror; Mystery,IE; GB,High Treason Productions; Samson Films; Forward Films; Nvizible; Fís Éireann/Screen Ireland,21597; 11571; 17748; 51929; 1898,,,Jon Wright,Richard Coyle; Ruth Bradley; Russell Tovey; Bronagh Gallagher; David Pearse; Lalor Roddy; Clelia Murphy; Louis Dempsey; Micheál O'Gruagain; Ned Dennehy,52890; 58430; 55469; 33399; 1122014; 182043; 2844227; 1084849; 1458564; 63362,2012,,89824.0,89824
84287,The Imposter,2012-07-13,99.0,en,,898317.0,2.5274,7.314,815,Documentary; Mystery; Crime,GB; US,RAW; Red Box Films; Passion Pictures; Film4 Productions,23949; 12840; 11594; 6705,,,Bart Layton,Frédéric Bourdin; Carey Gibson; Beverly Dollarhide; Bryan Gibson; Nancy Fisher; Charlie Parker; Philip French; Codey Gibson; Kevin Hendricks; Adam O'Brian,1092026; 6390078; 6390079; 6390094; 6390083; 6390090; 6390084; 6390087; 6390092; 1092027,2012,,859754.0,859754
84334,Searching for Sugar Man,2012-06-30,85.0,en,1000000.0,3696196.0,2.557,7.881,1061,Music; Documentary,SE; GB,Passion Pictures; Red Box Films; Canfield Pictures,11594; 12840; 12841,,,Malik Bendjelloul,Stephen Segerman; Rodriguez; Regan Rodriguez; Eva Rodriguez; Mike Theodore; Dennis Coffey; Sandra Rodriguez-Kennedy; Clarence Avant; Steve Rowland; Malik Bendjelloul,1133583; 1133582; 1852402; 1852405; 1181323; 1132085; 1852410; 1413203; 115463; 930708,2012,1.0,930708.0,930708
85038,Welcome to the North,2012-01-18,105.0,it,6000000.0,35000000.0,1.5009,5.776,1355,Comedy,IT,Medusa Film; Cattleya; Sky Cinema; Mediaset Premium,6246; 10102; 21649; 154035,150967.0,Welcome to the... Collection,Luca Miniero,Claudio Bisio; Alessandro Siani; Angela Finocchiaro; Valentina Lodovini; Nando Paone; Nunzia Schiano; Salvatore Misticone; Teco Celio; Paolo Rossi; Giacomo Rizzo,55914; 233334; 59640; 36322; 545137; 132849; 1293959; 73873; 227847; 148255,2012,1.0,223693.0,223693
85041,The Immature: The Trip,2012-01-04,114.0,it,,15512578.0,1.5175,5.967,626,Comedy,IT,Medusa Film; Lotus Production; Sky Cinema; Mediaset Premium,6246; 19916; 21649; 154035,198697.0,The Immature Collection,Paolo Genovese,Raoul Bova; Barbora Bobuľová; Ambra Angiolini; Luca Bizzarri; Paolo Kessisoglu; Ricky Memphis; Anita Caprioli; Luisa Ranieri; Maurizio Mattioli; Alessandro Tiberi,5412; 27271; 88710; 47827; 47828; 128117; 56844; 119172; 101556; 210766,2012,,225160.0,225160
85373,StreetDance 2,2012-03-30,85.0,en,,2653454.0,2.6862,6.2,408,Music; Romance; Drama,DE; IT; GB; US,BBC Film; Vertigo Films; Square One Entertainment; Film 1; StreetDance 2 SPA; Eagle Pictures,288; 10393; 22923; 725; 188369; 10400,206559.0,StreetDance Collection,Max Giwa,Falk Hentschel; Sofia Boutella; George Sampson; Stephanie Nguyen; Delphine Nguyen; Niek Traa; Elisabetta Di Carlo; Samuel Revell; Kaito Masai; Ali Ramdani,118643; 568657; 127004; 2343758; 2343766; 2343767; 2343768; 2343769; 2343770; 2343771,2012,,139153.0,139153; 139156
85435,A Few Best Men,2012-01-05,96.0,en,14400000.0,15521362.0,2.5772,5.7,454,Comedy,AU; GB,Screen Australia; Quickfire Films; Screen NSW; Parabolic Pictures; Stable Way Entertainment; Unthank Films; Story Bridge Films; Ingenious Broadcasting; Auburn Entertainment,7584; 4186; 10951; 1012; 1013; 18987; 18988; 18942; 18989,466004.0,A Few Best Men Collection,Stephan Elliott,Xavier Samuel; Kris Marshall; Kevin Bishop; Laura Brent; Tim Draxl; Rebel Wilson; Steve Le Marquand; Jonathan Biggins; Olivia Newton-John; Solveig Walking,109438; 7058; 19996; 962438; 123724; 221581; 59116; 208716; 8892; 1292007,2012,1.0,27889.0,27889
85739,A.C.A.B. - All Cops Are Bastards,2012-01-27,105.0,it,5000000.0,3300000.0,2.6006,6.975,864,Action; Drama; Crime,FR; IT,Cattleya; Fast Film; RAI Cinema; Babe Films; MiC; RAI,10102; 85572; 155990; 3366; 14016; 1583,,,Stefano Sollima,Pierfrancesco Favino; Filippo Nigro; Marco Giallini; Andrea Sartoretti; Domenico Diele; Roberta Spagnuolo; Eugenio Mastrandrea; Eradis Josende Oberto; Carlo Marino Altomonte; Riccardo Angelini,17839; 89389; 146464; 240273; 932541; 932542; 1147420; 1147421; 1898259; 1762495,2012,0.0,932533.0,932533
85872,Le Chef,2012-03-07,84.0,fr,,306724.0,2.7778,6.2,649,Comedy,BE; FR; ES,uMedia; Gaumont; TF1 Films Production; A Contracorriente Films; uFilm; Backup Media,19037; 9; 356; 33916; 8676; 5381,,,Daniel Cohen,Michaël Youn; Jean Reno; Raphaëlle Agogué; Julien Boisselier; Salomé Stévenin; Serge Larivière; Issa Doumbia; Bun-hay Mean; Pierre Vernier; Santiago Segura,82304; 1003; 126386; 32657; 96929; 586276; 582045; 1657648; 18566; 10847,2012,,77309.0,77309
86555,Take This Waltz,2011-11-25,116.0,en,,4965950.0,2.6322,6.398,408,Drama; Comedy; Romance,CA; FR; ES; JP,Joe's Daughter; Accent Entertainment Corporation; Super Écran; TF1 Droits Audiovisuels; The Movie Network; Ontario Media Development Corporation; Movie Central,23485; 7232; 11578; 8350; 808; 11576; 11551,,,Sarah Polley,Michelle Williams; Seth Rogen; Luke Kirby; Sarah Silverman; Jennifer Podemski; Diane D'Aquila; Vanessa Carter; Graham Abbey; Damien Atkins; Aaron Abrams,1812; 19274; 7002; 7404; 186495; 933336; 933334; 209537; 1031824; 56262,2011,,98.0,98
86597,The Tall Man,2012-03-19,106.0,en,18200000.0,7462847.0,3.7479,6.047,1265,Horror; Mystery; Thriller,CA; FR; US,Forecast Pictures; Iron Ocean; Radar Films; SND; Highwire Pictures,12686; 12687; 12689; 2902; 4845,,,Pascal Laugier,Jessica Biel; Jodelle Ferland; Stephen McHattie; William B. Davis; Samantha Ferris; Colleen Wheeler; Eve Harlow; Janet Wright; Ferne Downey; John Mann,10860; 8338; 230; 12643; 25383; 43905; 209723; 106460; 2181359; 12367,2012,0.0,59611.0,59611
86812,Sound of My Voice,2011-01-22,85.0,en,,405614.0,1.7993,6.32,441,Science Fiction; Drama; Mystery; Thriller,US,Skyscraper Films,26197,,,Zal Batmanglij,Brit Marling; Christopher Denham; Nicole Vicius; Davenia McFadden; Kandice Stroh; Richard Wharton; Christy Meyers; Constance Wu; Matthew Carey; Jacob Price,222330; 61510; 18516; 75620; 1039922; 87115; 1807141; 206444; 17040; 1807142,2011,,933739.0,933739
86834,Noah,2014-03-07,138.0,en,125000000.0,362600000.0,12.6625,5.68,6717,Drama; Adventure,US,Paramount Pictures; Regency Enterprises; Protozoa Pictures,4; 508; 7503,,,Darren Aronofsky,Russell Crowe; Jennifer Connelly; Ray Winstone; Anthony Hopkins; Emma Watson; Logan Lerman; Douglas Booth; Nick Nolte; Mark Margolis; Kevin Durand,934; 6161; 5538; 4173; 10990; 33235; 230680; 1733; 1173; 79072,2014,1.0,6431.0,6431
86868,Would I Lie to You? 3,2012-01-31,120.0,fr,25496629.0,40924982.0,1.0881,5.466,352,Comedy,FR,La Vérité Production; Les Films Manuel Munz; Télégraphe; Vertigo Productions,23545; 3092; 22763; 2756,115840.0,Would I Lie to You? Collection,Thomas Gilou,Richard Anconina; José Garcia; Bruno Solo; Vincent Elbaz; Amira Casar; Léa Drucker; Aure Atika; Enrico Macias; Gilbert Melki; Jean-François Gallotte,44556; 24895; 77734; 54918; 20577; 19360; 19116; 83973; 5079; 49863,2012,1.0,113610.0,113610
87093,Big Eyes,2014-12-24,106.0,en,10000000.0,28900000.0,4.2183,6.967,3658,Drama,US; CA,The Weinstein Company; Silverwood Films; Electric City Entertainment; Tim Burton Productions,308; 2293; 8600; 8601,,,Tim Burton,Amy Adams; Christoph Waltz; Danny Huston; Jon Polito; Krysten Ritter; Jason Schwartzman; Terence Stamp; Madeleine Arthur; Delaney Raye; James Saito,9273; 27319; 6413; 4253; 78080; 17881; 28641; 1463652; 1463648; 77155,2014,1.0,510.0,510
87421,Riddick,2013-09-02,119.0,en,38000000.0,98337295.0,9.4559,6.345,4509,Science Fiction; Action; Thriller,US; CA,One Race; Riddick Canada Productions; Radar Pictures; Universal Pictures,1225; 23634; 350; 33,2794.0,The Chronicles of Riddick Collection,David Twohy,Vin Diesel; Nolan Gerard Funk; Matt Nable; Katee Sackhoff; Jordi Mollà; Dave Bautista; Karl Urban; Bokeem Woodbine; Andreas Apergis; Noah Dalton Danby,12835; 82819; 123879; 51798; 31384; 543530; 1372; 71913; 102852; 172915,2013,1.0,28239.0,28239
