tmdb_id,title,release_date,runtime_minutes,original_language,budget_usd,worldwide_revenue_usd,popularity,vote_average,vote_count,genres,production_countries,production_companies,production_company_ids,collection_id,collection_name,director,cast_top10,cast_ids_top10,release_year,profitable,director_id,director_ids
189,Sin City: A Dame to Kill For,2014-08-20,102.0,en,65000000.0,39407616.0,17.3266,6.402,4257,Action; Crime; Thriller,US,Residaco; Miramax; Troublemaker Studios; Aldamisa Entertainment; Demarest Films; Solipsist Film; AR Films,41658; 14; 10807; 11006; 13241; 29076; 11005,135179.0,Sin City Collection,Frank Miller,Jessica Alba; Bruce Willis; Mickey Rourke; Josh Brolin; Joseph Gordon-Levitt; Eva Green; Rosario Dawson; Powers Boothe; Dennis Haysbert; Ray Liotta,56731; 62; 2295; 16851; 24045; 10912; 5916; 6280; 352; 11477,2014,0.0,2293.0,2293; 2294
1771,Captain America: The First Avenger,2011-07-22,124.0,en,140000000.0,370569774.0,19.5874,7.011,23174,Action; Adventure; Science Fiction,US,Marvel Studios; Marvel Entertainment,420; 7505,131295.0,Captain America Collection,Joe Johnston,Chris Evans; Hayley Atwell; Sebastian Stan; Tommy Lee Jones; Hugo Weaving; Dominic Cooper; Richard Armitage; Stanley Tucci; Samuel L. Jackson; Toby Jones,16828; 39459; 60898; 2176; 1331; 55470; 30315; 2283; 2231; 13014,2011,1.0,4945.0,4945
1865,Pirates of the Caribbean: On Stranger Tides,2011-05-15,136.0,en,379000000.0,1046721266.0,27.681,6.573,15204,Adventure; Action; Fantasy,GB; US,Walt Disney Pictures; Jerry Bruckheimer Films; Moving Picture Company,2; 130; 20478,295.0,Pirates of the Caribbean Collection,Rob Marshall,Johnny Depp; Penélope Cruz; Geoffrey Rush; Ian McShane; Kevin McNally; Sam Claflin; Àstrid Bergès-Frisbey; Stephen Graham; Keith Richards; Richard Griffiths,85; 955; 118; 6972; 2449; 237455; 469759; 1115; 1430; 10983,2011,1.0,17633.0,17633
1930,The Amazing Spider-Man,2012-06-23,136.0,en,215000000.0,758725893.0,42.6013,6.759,19038,Action; Adventure; Science Fiction,US,Marvel Entertainment; Laura Ziskin Productions; Columbia Pictures; Matt Tolmach Productions; Arad Productions,7505; 326; 5; 53462; 14439,125574.0,The Amazing Spider-Man Collection,Marc Webb,Andrew Garfield; Emma Stone; Rhys Ifans; Denis Leary; Martin Sheen; Sally Field; Irrfan Khan; Campbell Scott; Embeth Davidtz; Chris Zylka,37625; 54693; 7026; 5724; 8349; 35; 76793; 55152; 6368; 231547,2012,1.0,87742.0,87742
4258,Scary Movie 5,2013-04-11,86.0,en,20000000.0,78613981.0,8.0553,4.8,3144,Comedy,US,Dimension Films; Brad Grey Pictures,7405; 10958,4246.0,Scary Movie Collection,Malcolm D. Lee,Ashley French; Simon Rex; Gracie Whitton; Ava Kolker; Erica Ash; Heather Locklear; Lidia Porto; Molly Shannon; Lindsay Lohan; Josh Robert Thompson,67600; 35548; 558903; 1508532; 451684; 58691; 180527; 28640; 49265; 1852993,2013,1.0,72024.0,72024
7978,The Wolfman,2010-02-10,103.0,en,150000000.0,140700000.0,8.3986,5.899,2238,Horror,US,Universal Pictures; Relativity Media; Stuber Pictures,33; 7295; 4403,,,Joe Johnston,Benicio del Toro; Anthony Hopkins; Emily Blunt; Hugo Weaving; Geraldine Chaplin; Art Malik; Antony Sher; David Schofield; Cristina Contes; David Sterne,1121; 4173; 5081; 1331; 400; 10672; 77637; 939; 119684; 117654,2010,0.0,4945.0,4945
8952,I Love You Phillip Morris,2010-02-04,98.0,en,13000000.0,20768906.0,5.6477,6.407,1859,Comedy; Crime; Drama; Romance,FR; US,EuropaCorp; Mad Chance; Roadside Attractions; LD Entertainment,6896; 1757; 911; 8533,,,John Requa,Jim Carrey; Ewan McGregor; Leslie Mann; Rodrigo Santoro; Antoni Corone; Brennan Brown; Michael Mandell; Annie Golden; Marylouise Burke; David Jensen,206; 3061; 41087; 17289; 20562; 1218149; 3364878; 66094; 57823; 60875,2010,1.0,56412.0,56412; 56411
8967,The Tree of Life,2011-05-17,139.0,en,32000000.0,54700000.0,11.7724,6.7,3405,Drama; Fantasy,US,River Road Entertainment,1246,,,Terrence Malick,Brad Pitt; Jessica Chastain; Hunter McCracken; Sean Penn; Fiona Shaw; Tye Sheridan; Laramie Eppler; Will Wallace; Nicolas Gonda; Jessica Fuselier,287; 83002; 1715121; 2228; 10981; 1034681; 1715124; 158231; 1089521; 3470789,2011,1.0,30715.0,30715
9364,Wuthering Heights,2011-09-09,124.0,en,5692172.0,1742215.0,6.4764,5.9,288,Drama; Romance,GB,Ecosse Films; UK Film Council; Film4 Productions; Goldcrest; Screen Yorkshire; HanWay Films,1267; 2452; 6705; 500; 2690; 2395,,,Andrea Arnold,Kaya Scodelario; James Howson; Solomon Glave; Shannon Beer; Steve Evets; Oliver Milburn; Simone Jackson; Lee Shaw; James Northcote; Amy Wren,115150; 935050; 2598374; 1463866; 83814; 95023; 2598376; 1866091; 1362119; 1161369,2011,0.0,71082.0,71082
9543,Prince of Persia: The Sands of Time,2010-05-19,116.0,en,200000000.0,336365676.0,10.0732,6.312,7306,Adventure; Fantasy; Action,US,Walt Disney Pictures; Jerry Bruckheimer Films,2; 130,,,Mike Newell,Jake Gyllenhaal; Gemma Arterton; Ben Kingsley; Alfred Molina; Steve Toussaint; Toby Kebbell; Richard Coyle; Ronald Pickup; Reece Ritchie; Gísli Örn Garðarsson,131; 59620; 2282; 658; 55412; 20286; 52890; 32556; 54810; 587354,2010,1.0,10723.0,10723
10138,Iron Man 2,2010-04-28,124.0,en,200000000.0,623933331.0,36.327,6.854,22845,Adventure; Action; Science Fiction,US,Marvel Studios; Fairview Entertainment; Marvel Entertainment,420; 7297; 7505,131292.0,Iron Man Collection,Jon Favreau,Robert Downey Jr.; Gwyneth Paltrow; Don Cheadle; Scarlett Johansson; Sam Rockwell; Mickey Rourke; Samuel L. Jackson; Clark Gregg; John Slattery; Garry Shandling,3223; 12052; 1896; 1245; 6807; 2295; 2231; 9048; 21134; 52865,2010,1.0,15277.0,15277
10140,The Chronicles of Narnia: The Voyage of the Dawn Treader,2010-12-02,113.0,en,155000000.0,415686217.0,12.4014,6.444,6001,Adventure; Family; Fantasy,GB; US,Fox 2000 Pictures; Walden Media; C.S. Lewis Company,711; 10221; 79503,420.0,The Chronicles of Narnia Collection,Michael Apted,Georgie Henley; Skandar Keynes; Ben Barnes; Will Poulter; Anna Popplewell; Tilda Swinton; William Moseley; Simon Pegg; Liam Neeson; Laura Brent,5526; 5527; 25130; 93491; 5529; 3063; 5528; 11108; 3896; 962438,2010,1.0,10781.0,10781
10191,How to Train Your Dragon,2010-03-18,98.0,en,165000000.0,495141736.0,36.3926,7.867,14677,Fantasy; Adventure; Animation; Family,US,DreamWorks Animation,521,89137.0,How to Train Your Dragon Collection,Chris Sanders,Jay Baruchel; Gerard Butler; Craig Ferguson; America Ferrera; Jonah Hill; Christopher Mintz-Plasse; T.J. Miller; Kristen Wiig; Robin Atkin Downes; Philip McGrade,449; 17276; 24264; 59174; 21007; 54691; 51990; 41091; 130081; 138619,2010,1.0,66193.0,66193; 69797
10192,Shrek Forever After,2010-05-16,93.0,en,165000000.0,752600867.0,17.6788,6.413,8105,Comedy; Adventure; Fantasy; Animation; Family,US,DreamWorks Animation,521,2150.0,Shrek Collection,Mike Mitchell,Mike Myers; Eddie Murphy; Cameron Diaz; Antonio Banderas; Walt Dohrn; Julie Andrews; John Cleese; Jon Hamm; Jane Lynch; Craig Robinson,12073; 776; 6941; 3131; 118489; 5823; 8930; 65717; 43775; 64342,2010,1.0,64151.0,64151
10193,Toy Story 3,2010-06-16,103.0,en,200000000.0,1067316101.0,34.7052,7.815,16161,Animation; Family; Comedy,US,Pixar,3,10194.0,Toy Story Collection,Lee Unkrich,Tom Hanks; Tim Allen; Joan Cusack; Don Rickles; Wallace Shawn; John Ratzenberger; Estelle Harris; Blake Clark; Jeff Pidgeon; Ned Beatty,31; 12898; 3234; 7167; 12900; 7907; 61964; 21485; 7882; 13726,2010,1.0,8.0,8
10195,Thor,2011-04-21,115.0,en,150000000.0,449326618.0,27.4379,6.771,22736,Adventure; Fantasy; Action,US,Marvel Studios; Marvel Entertainment,420; 7505,131296.0,Thor Collection,Kenneth Branagh,Chris Hemsworth; Natalie Portman; Tom Hiddleston; Anthony Hopkins; Stellan Skarsgård; Kat Dennings; Clark Gregg; Colm Feore; Idris Elba; Ray Stevenson,74568; 524; 91606; 4173; 1640; 52852; 9048; 10132; 17605; 56614,2011,1.0,11181.0,11181
10196,The Last Airbender,2010-06-30,103.0,en,150000000.0,319713881.0,13.9236,4.642,4348,Action; Adventure; Fantasy,US,Paramount Pictures; Nickelodeon Movies; Blinding Edge Pictures; The Kennedy/Marshall Company,4; 2348; 12236; 862,,,M. Night Shyamalan,Noah Ringer; Dev Patel; Nicola Peltz; Jackson Rathbone; Shaun Toub; Aasif Mandvi; Cliff Curtis; Seychelle Gabriel; Katharine Houghton; Francis Guinan,88816; 76788; 61186; 84215; 17857; 20644; 7248; 559643; 19729; 162754,2010,1.0,11614.0,11614
10316,The Ides of March,2011-10-07,101.0,en,12500000.0,76338111.0,7.3147,6.681,2787,Drama,US,Appian Way; Crystal City Entertainment; Cross Creek Pictures; Exclusive Media; Smokehouse Pictures,562; 9018; 10246; 11448; 1782,,,George Clooney,Ryan Gosling; George Clooney; Philip Seymour Hoffman; Paul Giamatti; Evan Rachel Wood; Marisa Tomei; Jeffrey Wright; Max Minghella; Jennifer Ehle; Gregory Itzin,30614; 1461; 1233; 13242; 38940; 3141; 2954; 2978; 49971; 21142,2011,1.0,1461.0,1461
10679,Iron Sky,2012-04-04,93.0,en,7500000.0,10109659.0,8.2093,5.747,1835,Action; Comedy; Science Fiction,FI; DE; AU,Blind Spot Pictures; 27 Films Production; New Holland Pictures,7330; 9282; 10229,312977.0,Iron Sky Collection,Timo Vuorensola,Julia Dietze; Christopher Kirby; Götz Otto; Udo Kier; Peta Sergeant; Stephanie Paul; Tilo Prückner; Michael Cullen; Kym Jackson; Ben Siemer,6674; 75175; 10744; 1646; 220914; 936496; 13812; 1232566; 999445; 2211786,2012,1.0,66212.0,66212
11324,Shutter Island,2010-02-14,138.0,en,80000000.0,294804195.0,31.2632,8.2,26358,Drama; Thriller; Mystery,US,Paramount Pictures; Phoenix Pictures; Sikelia Productions; Appian Way,4; 11317; 23243; 562,,,Martin Scorsese,Leonardo DiCaprio; Mark Ruffalo; Ben Kingsley; Max von Sydow; Michelle Williams; Emily Mortimer; Patricia Clarkson; Jackie Earle Haley; Ted Levine; John Carroll Lynch,6193; 103; 2282; 2201; 1812; 1246; 1276; 17183; 15854; 3911,2010,1.0,1032.0,1032
11439,The Ghost Writer,2010-02-12,128.0,en,45000000.0,60300000.0,5.6572,6.818,2509,Thriller; Mystery,FR; DE; GB,R.P. Productions; France 2 Cinéma; Runteam; Studio Babelsberg; Elfte Babelsberg Film,355; 83; 265; 264; 156372,,,Roman Polanski,Ewan McGregor; Pierce Brosnan; Kim Cattrall; Olivia Williams; Tom Wilkinson; Timothy Hutton; Jon Bernthal; Tim Preece; Robert Pugh; David Rintoul,3061; 517; 2109; 11616; 207; 16327; 19498; 113360; 47643; 26706,2010,1.0,3556.0,3556
12155,Alice in Wonderland,2010-03-03,108.0,en,200000000.0,1025467110.0,22.2659,6.644,15023,Family; Fantasy; Adventure,US,Walt Disney Pictures; Roth Films; Team Todd; The Zanuck Company,2; 16314; 598; 80,261307.0,Alice in Wonderland Collection,Tim Burton,Mia Wasikowska; Johnny Depp; Anne Hathaway; Helena Bonham Carter; Crispin Glover; Matt Lucas; Alan Rickman; Stephen Fry; Michael Sheen; Timothy Spall,76070; 85; 1813; 1283; 1064; 26209; 4566; 11275; 3968; 9191,2010,1.0,510.0,510
12201,Edge of Darkness,2010-01-28,117.0,en,80000000.0,81126522.0,9.0342,6.459,1794,Crime; Drama; Mystery; Thriller,GB; US,Icon Productions; GK Films; BBC Film; Warner Bros. Pictures,152; 3281; 288; 174,,,Martin Campbell,Mel Gibson; Ray Winstone; Danny Huston; Bojana Novaković; Shawn Roberts; David Aaron Baker; Jay O. Sanders; Denis O'Hare; Damian Young; Frank Grillo,2461; 5538; 6413; 81682; 81097; 60195; 6067; 81681; 109144; 81685,2010,1.0,10702.0,10702
12444,Harry Potter and the Deathly Hallows: Part 1,2010-11-17,146.0,en,250000000.0,954305868.0,41.3682,7.732,20738,Adventure; Fantasy,GB; US,Warner Bros. Pictures; Heyday Films,174; 437,1241.0,Harry Potter Collection,David Yates,Daniel Radcliffe; Emma Watson; Rupert Grint; Toby Jones; Helena Bonham Carter; Alan Rickman; Ralph Fiennes; Bill Nighy; Simon McBurney; Rhys Ifans,10980; 10990; 10989; 13014; 1283; 4566; 5469; 2440; 16358; 7026,2010,1.0,11343.0,11343
12445,Harry Potter and the Deathly Hallows: Part 2,2011-07-12,130.0,en,125000000.0,1341511219.0,48.9393,8.1,22376,Adventure; Fantasy,GB; US,Warner Bros. Pictures; Heyday Films,174; 437,1241.0,Harry Potter Collection,David Yates,Daniel Radcliffe; Emma Watson; Rupert Grint; Ralph Fiennes; Alan Rickman; Michael Gambon; Warwick Davis; Helena Bonham Carter; Ciarán Hinds; Matthew Lewis,10980; 10990; 10989; 5469; 4566; 5658; 11184; 1283; 8785; 96841,2011,1.0,11343.0,11343
12819,Alpha and Omega,2010-07-05,88.0,en,20000000.0,50507267.0,4.9913,5.935,577,Animation; Family; Comedy; Adventure; Romance,US; IN,Lionsgate; Crest Animation; Crest Animation; Alpha & Omega Productions,1632; 6575; 21234; 308163,241729.0,Alpha and Omega Collection,Anthony Bell,Justin Long; Hayden Panettiere; Dennis Hopper; Danny Glover; Larry Miller; Eric Price; Vicki Lewis; Chris Carmack; Kevin Sussman; Brian Donovan,15033; 17265; 2778; 2047; 1211; 1063149; 14723; 87440; 60633; 1227849,2010,1.0,131242.0,131242; 61970
13477,When in Rome,2010-01-29,91.0,en,55000000.0,43042835.0,5.7814,5.914,1296,Comedy; Fantasy; Romance,US,Krasnoff / Foster Entertainment; Touchstone Pictures,8299; 9195,,,Mark Steven Johnson,Kristen Bell; Josh Duhamel; Anjelica Huston; Danny DeVito; Will Arnett; Jon Heder; Dax Shepard; Alexis Dziena; Kate Micucci; Bobby Moynihan,40462; 19536; 5657; 518; 21200; 53926; 51298; 4433; 132354; 452205,2010,0.0,16837.0,16837
16290,Jackass 3D,2010-10-15,94.0,en,20000000.0,117224271.0,6.2029,6.641,1513,Comedy; Documentary; Action,US,MTV Films; Dickhouse Productions; Paramount Pictures,746; 6328; 4,17178.0,Jackass Collection,Jeff Tremaine,Johnny Knoxville; Bam Margera; Ryan Dunn; Steve-O; Chris Pontius; Jason 'Wee Man' Acuña; Preston Lacy; Ehren McGhehey; Dave England; Phil Margera,9656; 56584; 110068; 56585; 56586; 78840; 76365; 220241; 86627; 117261,2010,1.0,56578.0,56578
17578,The Adventures of Tintin,2011-10-24,107.0,en,130000000.0,373993951.0,19.0311,6.929,5951,Adventure; Animation; Mystery,NZ; US,Paramount Pictures; Columbia Pictures; Hemisphere Media Capital; Nickelodeon Movies; Amblin Entertainment; WingNut Films; The Kennedy/Marshall Company,4; 5; 9169; 2348; 56; 11; 862,,,Steven Spielberg,Jamie Bell; Andy Serkis; Daniel Craig; Nick Frost; Simon Pegg; Daniel Mays; Gad Elmaleh; Toby Jones; Enn Reitel; Mackenzie Crook,478; 1333; 8784; 11109; 11108; 1670; 51100; 13014; 34904; 1711,2011,1.0,488.0,488
18823,Clash of the Titans,2010-03-26,106.0,en,125000000.0,493214993.0,11.5696,5.924,6823,Adventure; Fantasy; Action,US; GB,The Zanuck Company; Legendary Pictures; Thunder Road; Moving Picture Company; Warner Bros. Pictures,80; 923; 3528; 20478; 174,86780.0,Clash of the Titans Collection,Louis Leterrier,Sam Worthington; Gemma Arterton; Mads Mikkelsen; Alexa Davalos; Jason Flemyng; Ralph Fiennes; Liam Neeson; Pete Postlethwaite; Polly Walker; Ashraf Barhom,65731; 59620; 1019; 28109; 973; 5469; 3896; 4935; 6416; 766,2010,1.0,18865.0,18865
19901,Daybreakers,2010-01-06,98.0,en,20000000.0,51417188.0,8.8442,6.282,2250,Action; Fantasy; Science Fiction,US; AU,Lionsgate; Pictures in Paradise; Pacific Film and Television Commission; Furst Films; Australian Film Finance Corporation,1632; 3207; 4024; 3135; 1380,,,Michael Spierig,Ethan Hawke; Sam Neill; Willem Dafoe; Claudia Karvan; Isabel Lucas; Vince Colosimo; Jay Laga'aia; Michael Dorman; Harriet Minto-Day; Tiffany Lamb,569; 4783; 5293; 79966; 103554; 77496; 33182; 76068; 1121519; 61911,2010,1.0,56501.0,56501; 56502
20352,Despicable Me,2010-07-08,95.0,en,69000000.0,543284256.0,35.1042,7.261,16343,Animation; Comedy; Crime; Science Fiction; Family,US,Illumination; Universal Pictures,6704; 33,86066.0,Despicable Me Collection,Pierre Coffin,Steve Carell; Jason Segel; Russell Brand; Julie Andrews; Will Arnett; Kristen Wiig; Miranda Cosgrove; Dana Gaier Ellis; Elsie Fisher; Pierre Coffin,4495; 41088; 59919; 5823; 21200; 41091; 17743; 124750; 122851; 124747,2010,1.0,124747.0,124747; 124748
20504,The Book of Eli,2010-01-14,118.0,en,80000000.0,157107755.0,12.292,6.808,6860,Action; Thriller; Science Fiction,US,Alcon Entertainment; Silver Pictures,1088; 1885,,,Allen Hughes,Denzel Washington; Gary Oldman; Mila Kunis; Ray Stevenson; Jennifer Beals; Michael Gambon; Tom Waits; Frances de la Tour; Evan Jones; Joe Pingue,5292; 64; 18973; 56614; 3130; 5658; 2887; 47468; 333; 86237,2010,1.0,11448.0,11448; 11447
20526,TRON: Legacy,2010-12-14,126.0,en,170000000.0,409912892.0,15.0901,6.547,8124,Adventure; Action; Science Fiction,US,Walt Disney Pictures; Sean Bailey Productions,2; 23791,63043.0,TRON Collection,Joseph Kosinski,Garrett Hedlund; Olivia Wilde; Jeff Bridges; Bruce Boxleitner; James Frain; Beau Garrett; Michael Sheen; Anis Cheurfa; Serinda Swan; Yaya DaCosta,9828; 59315; 1229; 2547; 22063; 20403; 3968; 1900168; 86268; 60033,2010,1.0,86270.0,86270
20533,Jonah Hex,2010-06-18,81.0,en,47000000.0,10539000.0,6.5745,4.974,1583,Western; Fantasy; Thriller,US,Warner Bros. Pictures; Legendary Pictures; Weed Road Pictures; Mad Chance; DC,174; 923; 433; 1757; 429,,,Jimmy Hayward,Josh Brolin; John Malkovich; Megan Fox; Michael Fassbender; Will Arnett; Aidan Quinn; Wes Bentley; John Gallagher Jr.; Tom Wopat; Jeffrey Dean Morgan,16851; 6949; 19537; 17288; 21200; 18992; 8210; 17487; 114293; 47296,2010,0.0,8029.0,8029
20662,Robin Hood (2010),2010-05-12,140.0,en,200000000.0,321669741.0,11.1697,6.398,5127,Action; Adventure; History; Drama,US,Imagine Entertainment; Relativity Media; Scott Free Productions,23; 7295; 221347,,,Ridley Scott,Russell Crowe; Cate Blanchett; Max von Sydow; William Hurt; Mark Strong; Oscar Isaac; Danny Huston; Eileen Atkins; Mark Addy; Matthew Macfadyen,934; 112; 2201; 227; 2983; 25072; 6413; 20300; 13633; 15576,2010,1.0,578.0,578
22538,Scott Pilgrim vs. the World,2010-08-12,113.0,en,73000000.0,51825248.0,16.4833,7.485,8839,Action; Comedy; Romance,JP; GB; US,Marc Platt Productions; Big Talk Studios; Closed on Mondays Entertainment; dentsu,2527; 443; 87733; 1778,,,Edgar Wright,Michael Cera; Mary Elizabeth Winstead; Ellen Wong; Kieran Culkin; Alison Pill; Mark Webber; Johnny Simmons; Jason Schwartzman; Anna Kendrick; Aubrey Plaza,39995; 17628; 88902; 18793; 17486; 4451; 27104; 17881; 84223; 119592,2010,0.0,11090.0,11090
22894,Legion,2010-01-21,100.0,en,26000000.0,67918658.0,11.9098,5.908,2947,Action; Fantasy; Horror,US,Screen Gems; Bold Films,3287; 2266,,,Scott Stewart,Paul Bettany; Dennis Quaid; Lucas Black; Kate Walsh; Tyrese Gibson; Adrianne Palicki; Willa Holland; Charles S. Dutton; Jon Tenney; Kevin Durand,6162; 6065; 155; 61114; 8169; 88995; 1223171; 17764; 4602; 79072,2010,1.0,116357.0,116357
22907,Takers,2010-08-26,107.0,en,32000000.0,80205382.0,6.7211,6.25,1414,Action; Crime; Drama; Thriller,US,Rainforest Entertainment; Screen Gems; Grand Hustle Films,1309; 3287; 186575,,,John Luessenhop,Matt Dillon; Paul Walker; Idris Elba; Hayden Christensen; Chris Brown; Jay Hernandez; Michael Ealy; Steve Harris; T.I.; Johnathon Schaech,2876; 8167; 17605; 17244; 31136; 19487; 8177; 2202; 76126; 51670,2010,1.0,97026.0,97026
22970,The Cabin in the Woods,2012-04-12,95.0,en,30000000.0,71038838.0,16.41,6.656,8775,Horror; Mystery; Comedy,US,Mutant Enemy Productions,10567,,,Drew Goddard,Kristen Connolly; Fran Kranz; Chris Hemsworth; Jesse Williams; Anna Hutchison; Richard Jenkins; Bradley Whitford; Amy Acker; Brian J. White; Sigourney Weaver,210824; 51533; 74568; 210695; 486603; 28633; 11367; 81133; 31137; 10205,2012,1.0,47506.0,47506
22971,Dear John,2010-02-04,108.0,en,25000000.0,114977104.0,6.7135,6.834,4335,Drama; Romance; War,US,Screen Gems; Relativity Media; Temple Hill Entertainment,3287; 7295; 12292,,,Lasse Hallström,Amanda Seyfried; Channing Tatum; Richard Jenkins; Henry Thomas; D.J. Cotrona; Cullen Moss; Gavin McCulley; Jose Lucena Jr.; Keith D. Robinson; Scott Porter,71070; 38673; 28633; 9976; 51976; 1215021; 2499695; 2499696; 15564; 53368,2010,1.0,5306.0,5306
22972,Green Zone,2010-03-11,115.0,en,100000000.0,94882889.0,7.7844,6.485,2448,War; Action; Adventure; Drama; Thriller,US; FR; ES; GB; JP,Universal Pictures; StudioCanal; Relativity Media; Working Title Films; KanZaman Productions; Atresmedia Cine,33; 694; 7295; 10163; 4169; 281730,,,Paul Greengrass,Matt Damon; Greg Kinnear; Brendan Gleeson; Amy Ryan; Khalid Abdalla; Jason Isaacs; Igal Naor; Said Faraj; Raad Rawi; Michael O'Neill,1892; 17141; 2039; 39388; 53480; 11355; 41316; 109670; 73710; 21710,2010,0.0,25598.0,25598
23023,Tooth Fairy,2010-01-14,101.0,en,48000000.0,112462508.0,7.1308,5.495,2143,Comedy; Family; Fantasy,CA; US,Dune Entertainment; Dune Entertainment III; Walden Media; Mayhem Pictures; 20th Century Fox; Blumhouse Productions,444; 6332; 10221; 22881; 25; 3172,222634.0,Tooth Fairy Collection,Michael Lembeck,Dwayne Johnson; Stephen Merchant; Ashley Judd; Julie Andrews; Ryan Sheckler; Seth MacFarlane; Destiny Whitlock; Chase Ellison; Darien Provost; Alex Ferris,18918; 39189; 15852; 5823; 116131; 52139; 964590; 64148; 208246; 59243,2010,1.0,15045.0,15045
23047,Season of the Witch,2011-01-07,95.0,en,40000000.0,91627228.0,8.3616,5.531,2711,Adventure; Fantasy; Action,US,Atlas Entertainment; Relativity Media; Mandate International; Rogue Pictures,507; 7295; 181992; 134,,,Dominic Sena,Nicolas Cage; Ron Perlman; Ulrich Thomsen; Christopher Lee; Fernanda Dorogi; Stephen Graham; Rebekah Kennedy; Matt Devere; Robert Sheehan; Claire Foy,2963; 2372; 4455; 113; 143548; 1115; 143549; 25445; 118616; 120932,2011,1.0,58498.0,58498
23048,Hot Tub Time Machine,2010-03-26,101.0,en,36000000.0,64780213.0,7.4042,6.048,2816,Science Fiction; Comedy; Adventure,US,Metro-Goldwyn-Mayer; New Crime Productions; United Artists,21; 12886; 242584,313576.0,Hot Tub Time Machine Collection,Steve Pink,John Cusack; Craig Robinson; Rob Corddry; Clark Duke; Sebastian Stan; Chevy Chase; Crispin Glover; Lyndsy Fonseca; Lizzy Caplan; Collette Wolfe,3036; 64342; 52997; 54729; 60898; 54812; 1064; 116882; 51988; 86624,2010,1.0,3227.0,3227
23168,The Town,2010-09-15,125.0,en,37000000.0,154026136.0,17.997,7.226,5803,Crime; Drama; Thriller,US,Legendary Pictures; GK Films; Thunder Road; Warner Bros. Pictures,923; 3281; 3528; 174,,,Ben Affleck,Ben Affleck; Jeremy Renner; Rebecca Hall; Jon Hamm; Blake Lively; George Carroll; Pete Postlethwaite; Owen Burke; Titus Welliver; Chris Cooper,880; 17604; 15556; 65717; 59175; 133067; 4935; 133068; 39389; 2955,2010,1.0,880.0,880
23169,Remember Me,2010-03-11,113.0,en,16000000.0,56000000.0,10.8196,7.1,3789,Drama; Romance,US,Summit Entertainment,491,,,Allen Coulter,Robert Pattinson; Emilie de Ravin; Pierce Brosnan; Lena Olin; Chris Cooper; Ruby Jerins; Gregory Jbara; Tate Ellington; Kate Burton; Chris McKinney,11288; 28660; 517; 5313; 2955; 1218228; 24360; 965205; 20879; 1386512,2010,1.0,16834.0,16834
23172,The Spy Next Door,2010-01-15,94.0,en,28000000.0,66166000.0,7.2566,5.9,1447,Action; Comedy; Family,US,Spy Next Door; Relativity Media; Robert Simonds Productions; Lionsgate; Mandate International,46062; 7295; 3929; 1632; 181992,,,Brian Levant,Jackie Chan; Amber Valletta; Madeline Carroll; Will Shadley; Alina Foley; Magnús Scheving; Billy Ray Cyrus; George López; Katherine Boecher; Mia Stallard,18897; 38425; 62564; 1281596; 1251285; 224446; 78887; 41798; 211488; 129713,2010,1.0,13581.0,13581
23437,A Nightmare on Elm Street,2010-04-30,95.0,en,35000000.0,115665418.0,12.0931,5.52,2972,Horror; Mystery; Thriller,US,Platinum Dunes; New Line Cinema,2481; 12,,,Samuel Bayer,Rooney Mara; Kyle Gallner; Jackie Earle Haley; Katie Cassidy; Thomas Dekker; Kellan Lutz; Clancy Brown; Connie Britton; Lia D. Mortensen; Julianna Damm,108916; 59219; 17183; 55775; 34199; 34502; 6574; 86310; 1360033; 1637369,2010,1.0,20031.0,20031
23483,Kick-Ass,2010-03-26,118.0,en,28000000.0,96188903.0,13.176,7.123,12602,Action; Crime,GB; US,Plan B Entertainment; Marv,81; 5374,179892.0,Kick-Ass Collection,Matthew Vaughn,Aaron Taylor-Johnson; Chloë Grace Moretz; Nicolas Cage; Lyndsy Fonseca; Mark Strong; Deborah Twiss; Christopher Mintz-Plasse; Elizabeth McGovern; Omari Hardwick; Xander Berkeley,27428; 56734; 2963; 116882; 2983; 116881; 54691; 4513; 41556; 3982,2010,1.0,957.0,957
23629,Sucker Punch,2011-03-24,110.0,en,82000000.0,89792502.0,9.5478,6.206,5212,Action; Fantasy; Thriller,US,Legendary Pictures; Warner Bros. Pictures; Cruel & Unusual Films,923; 174; 9995,,,Zack Snyder,Emily Browning; Abbie Cornish; Jena Malone; Vanessa Hudgens; Jamie Chung; Carla Gugino; Oscar Isaac; Jon Hamm; Scott Glenn; Richard Cetrone,70456; 37260; 20089; 67599; 78324; 17832; 25072; 65717; 349; 12371,2011,1.0,15217.0,15217
23631,Machete,2010-09-01,105.0,en,10500000.0,45491656.0,9.4297,6.334,3643,Action; Comedy; Thriller,US; DE; GB,Overnight Films; Troublemaker Studios,10808; 10807,210006.0,Machete Collection,Robert Rodriguez,Danny Trejo; Michelle Rodriguez; Jessica Alba; Robert De Niro; Steven Seagal; Cheech Marin; Lindsay Lohan; Electra Avellan; Elise Avellan; Tom Savini,11160; 17647; 56731; 380; 23880; 11159; 49265; 567627; 1569850; 11161,2010,1.0,2294.0,2294; 61847
