genre,movie_count,median_revenue_usd,median_roi,profitability_rate
Adventure,684,117209003.5,1.2106975076923077,0.7606112054329371
Family,376,96173256.0,1.4348781755555557,0.8229813664596274
Science Fiction,453,64493915.0,1.2708647016591252,0.7299465240641712
Action,978,55332644.5,0.9638469375,0.6909765142150803
Fantasy,437,51147812.0,0.9333333333333332,0.6943620178041543
Animation,371,50461371.0,1.543867175,0.7755102040816326
Comedy,1118,32141112.0,1.1904761904761905,0.729003359462486
Music,99,23706386.0,1.2507414,0.6986301369863014
History,236,23274468.5,0.1466666666666666,0.5508021390374331
Crime,526,18304945.5,0.3252453285714285,0.5849514563106796
Romance,492,16621755.0,0.7952059714285714,0.6533333333333333
War,110,16487777.5,0.2706537,0.5697674418604651
Mystery,316,16007061.5,0.8795836113243762,0.635593220338983
Thriller,991,12951093.0,0.5119949848208865,0.5963541666666666
Drama,1661,12616995.0,0.4567071085714285,0.6050753370340999
Western,38,10001599.0,-0.2812139909090909,0.4117647058823529
Horror,546,9738967.0,1.4307855,0.6738609112709832
Documentary,43,2639616.0,2.935761,0.6153846153846154
