revenue_band,movie_count,mae_usd,median_actual_revenue_usd,median_predicted_revenue_usd,interval_coverage
Regular (<$250M),550,27460698.31466824,12877152.0,8152256.242697078,0.9745454545454545
High Grossing ($250M-$400M),26,172103666.26957586,298009098.5,102867395.50103164,0.38461538461538464
Blockbuster (>$400M),42,380236659.09935904,677948955.0,400270293.73691416,0.2857142857142857
