model,mean_rolling_mae_usd,std_rolling_mae_usd,mean_rolling_rmse_usd,mean_rolling_r2,evaluation_mae_usd,evaluation_rmse_usd,evaluation_r2
random_forest_current,55014750.000694744,13685580.1937687,132057511.58132714,0.6102043501322841,57521066.469659455,155983078.66058883,0.5192908675680568
lightgbm,55583857.201720476,13100048.262742754,132564042.00776684,0.6085663810191771,62562044.64180357,171998010.98001418,0.41551382041408425
catboost_native_categories,55988756.41728123,15062866.136310672,136964125.11524352,0.5805877512032147,61749461.14367105,175464476.0974283,0.3917168234358067
hist_gradient_boosting,56085561.359261304,12777470.736330604,134022150.94766515,0.5968989921129321,61593100.612653285,169788684.9854547,0.4304329110872942
xgboost,56907454.85429072,14194601.729620006,140026457.56547078,0.5630259068812022,62410633.72515574,174314857.50820962,0.3996614835281187
gradient_boosting_current,57058182.47252991,15610380.733791512,141668274.82525733,0.5578923409512666,62740366.85893252,177116739.63804367,0.3802070735079438
ridge_current,133517390.7828656,25423586.434360515,473443720.9683194,-4.966104507281326,133474919.4885481,507974105.1739475,-4.098125768795521
